Business Name,Phone Number,Address,Website,Emails,Search Phrase Used,Profile Category
Dagliya & Co,080 2223 6783,"Unity Building, 5, Road, L Block, Jayachamarajendra, Bengaluru, Karnataka 560027, India",http://www.dagliya.com/,chetan@dagliya.com,Chartered Accountants in Bangalore,Connector
"RAO & EMMAR, Chartered Accountants",099009 52032,"No.18, Ramanashree Arcade, 2nd Floor, No 204 and 205 , Ashok Nagar Post, Mahatma Gandhi Rd, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",http://www.raoemmar.com/,,Chartered Accountants in Bangalore,Connector
"HVJ & ASSOCIATES, CHARTERED ACCOUNTANTS WILSON GARDEN BANGALORE",073534 44111,"76, 1, 7th Cross Rd, Vinayaka Nagar, Wilson Garden, Bengaluru, Karnataka 560027, India",https://hvj.co.in/,"info@hvj.co.in, hvjhyderabad@gmail.com, vijayareddy2000@gmail.com, info1@hvj.co.in, deepikareddy@hvj.co.in, hvjsullurupeta@gmail.com",Chartered Accountants in Bangalore,Connector
"Farha & Co ,Chartered Accountants",093796 83857,"35/1, Hanson Tower 2nd floor BTS Main Road, Marble Road, near Mico Back Gate, Chinnayanpalya, Wilson Garden, Bengaluru, Karnataka 560030, India",https://www.tradeindia.com/my-tradeindia/profile/business-profile.html,,Chartered Accountants in Bangalore,Connector
"Rahul R Gandhi & Associates, Chartered Accountants",086180 38216,"No. 507, Fifth Floor, Sampurna Chambers, Vasavi Temple St, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India",,,Chartered Accountants in Bangalore,Connector
KEERTHI & CO,088800 33395,"AB 402, ""ADVAITHA"", 4th floor, Sri Vaari Sannidhi, Hope Farm, Pattandur Agrahara Maithri Layout 3rd Main Rd, Maithri Layout, Whitefield, Bengaluru, Karnataka 560066, India",https://www.keerthiandco.in/,"cakeerthiandcohoskote@gmail.com, cakeerthiandcovar@gmail.com, cakeerthiandcohbre@gmail.com, cakeerthiandco@gmail.com",CA firms in Bangalore,Connector
Vagrecha & Associates- Chartered Accountant Firms in Whitefield Bangalore,099000 09025,"4th Floor, TMR Tower, HDFC Bank, besides, Marathahalli-Whitefield Road, above Kotak Mahindra Bank, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066, India",http://vagrecha.com/,"info@vagrecha.com, %20info@vagrecha.com",CA firms in Bangalore,Connector
CA KAPG AND ASSOCIATES Chartered Accountants,094801 13902,"227 1st Floor, 15th Main Rd, 4th Block, Koramangala, Bengaluru, Karnataka 560034, India",http://www.cakapg.com/,accounts@cakapg.com,CA firms in Bangalore,Connector
"CA Yashveer Singh Sisodia & Company, Chartered Accountants.",089040 81917,"4th Floor, L5, Above Kanti Sweets, Jeevan Bima Nagar Main Rd, 80 Feet Rd, near Indiranagar, Subhash Nagar, HAL 3rd Stage, Sector 11, Jeevan Bima Nagar, Bengaluru, Karnataka 560075, India",http://www.yssandco.com/,,CA firms in Bangalore,Connector
Gururaaja Sanjay & Co,077602 52581,"No 109/6 Second Floor, 20th Main Road, 5th Block Rajajinagar, Variar Bakery (Branch, beside O.G. Variar and Sons, Shivanagar, Signal, Bengaluru, Karnataka 560010, India",https://gururaajasanjay.practive.link/,office.blr@gururaajasanjay.com,CA firms in Bangalore,Connector
SINGAMREDDY AND ASSOCIATES,082965 39666,"2nd Floor, No.22, 7th Cross Road, 4th Phase, 1st Stage, Gokula Mathikere, Yeswanthpur, Bengaluru, Karnataka 560022, India",http://www.cassr.co.in/,"admin@cassr.co.in, singam@cassr.co.in",CA firms in Bangalore,Connector
S S Auditors And Tax Consultants,099168 32841,"12, 1ST CROSS. AMC ROAD, MM LAYOUT KAVALBYRASANDRA, RT NAGAR, POST, next to SBI BANK, MM Layout, BRANCH, Kaval Bairasandra, Bengaluru, Karnataka 560032, India",http://www.ssauditor.com/,"services@ssauditor.com, example@mysite.com",Tax Consultants in Bangalore,Connector
"SAPTHAGIRI TAX - GST, Income Tax Return Filing, Company Incorporation, Accountants and Tax Consultants",095135 77771,"No.31, MR Sadan, 102, 1st Floor, Deepa Nursing Home, Road, above Kottakkal Arya Vaidya Sala, Bengaluru, HAL Central Township, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India",https://sapthagiritax.com/,"kvb.sapthagiri@gmail.com, u003Ekvb.sapthagiri@gmail.com",Tax Consultants in Bangalore,Connector
TAX SOURCE INDIA,081799 64276,"Shop No.03, No.437/38, Ground Floor, 7th Main, Church St, Seethappa Colony, HAL 3rd Stage, Bhoomi Reddy Colony, New Tippasandra, Bengaluru, Karnataka 560075, India",https://taxsourceindia.com/,info@taxsourceindia.com,Tax Consultants in Bangalore,Connector
FINMAN TAX CONSULTANCY (FINMAN TAX ACADEMY),085490 90678,"No. 888, 2nd Floor, GNR Arcade, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",http://www.finmantax.co.in/,"yourauditorfazil@gmail.com, info@ndiscovered.com, yourauditor@finmantax.co.in",Tax Consultants in Bangalore,Connector
B Tax Advisors India Pvt Ltd,091083 63324,"Jaibharath Nagar, Sanjeevappa Layout, Maruthi Sevanagar, Bengaluru, Karnataka 560033, India",,,Tax Consultants in Bangalore,Connector
A&D Consultancy - Registration & Return Filing Services in Bangalore,077606 41064,"1st Floor, NO 2, 15th Main Rd, 1st Block, Hanumanthnagar, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560050, India",https://www.andconsultancy.in/,"anjan@andconsultancy.in, your@email.com",Tax Consultants in Bangalore,Connector
Shri Ram Advisors | GST & Income Tax Consultant,098456 22829,"Door No 202, third floor, 34 Meena, 4th Cross Rd, Maruthi Extension, Gayatri Nagar, Rajajinagar, Bengaluru, Karnataka 560021, India",https://taxexpert.co.in/,,Tax Consultants in Bangalore,Connector
"TaxFilr: Income Tax Return Filing, GST Return Filing, TDS Return Filing, and Chartered Accountants in Bengaluru",063669 09909,"56, R.K Colony, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560041, India",http://taxfilr.com/,contact@taxfilr.com,Tax Consultants in Bangalore,Connector
M.I ASSOCIATES (TAX CONSULTANT),095351 67903,"No.38, 3rd Cross Rd, Journalist Colony, Kalasipalya, Bengaluru, Karnataka 560002, India",http://imamnews1.blogspot.com/,,Tax Consultants in Bangalore,Connector
Pirgal Consulting,099800 11626,"14/1, 4th Floor, Sankeshwara Towers, 1st Cross, Rashtriya Vidyalaya Rd, near Patel M Kempaiah Circle, Journalist Colony, Mavalli, Bengaluru, Karnataka 560004, India",http://www.pirgal.com/,,Tax Consultants in Bangalore,Connector
CRESCENT TAX CONSULTANCY,063614 32687,"No 1, Central St, Cleveland Town, Frazer Town, Bengaluru, Karnataka 560005, India",,,Tax Consultants in Bangalore,Connector
"ASKI CONSULTANCY, Auditors Office,Tax Consultants, GST Registration, ITR Filing and Legal Services",070260 17766,"No. 25, Aartha Arcade, 4th Cross Muniyappa Layout, Hongasandra, Hosur Rd, near Vasan Eye Care Hospital, Garvebhavi Palya, Bengaluru, Karnataka 560068, India",,,Tax Consultants in Bangalore,Connector
MRR Associates,074111 46467,"2nd floor, Shobha Towers, 133/1, HB Samaja Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India",http://www.mrrassociates.in/,,Tax Consultants in Bangalore,Connector
"Trusens TaxBooks LLP (US Business Incorp - LLC, C Corp, S Corp & US Tax Filing)",099668 89968,"Apartment, 5/1, Besides SPAR Hypermarket, Adarsh Vihar, Bannerghatta Rd, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029, India",https://thetaxbooks.com/bangalore/,contact@thetaxbooks.com,Tax Consultants in Bangalore,Connector
Mr TAX CONSULTANT LLP,070346 52799,"16, Venkatappa Rd, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051, India",https://mrtaxconsultant.in/,,Tax Consultants in Bangalore,Connector
Awesmart - Premium Financial Services,095130 43210,"S215, Manipal Center, South, Block 47, Dickenson Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042, India",http://www.awesmart.com/,"reachus@awesmart.com, info@yourdomain.com",Financial Advisors in Bangalore,Connector
SimpliWealth,099865 99998,"143,3rd Floor, 9th Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011, India",http://www.simpliwealth.com/,"SivaPrasadD@SimpliWealth.com, sivaprasadd@simpliwealth.com",Financial Advisors in Bangalore,Connector
FinAtoZ - Financial Planner in Bangalore,098800 83712,"3rd Floor, B.K.N, Ambaram Estates, 648/L, Old Madras Rd, next to Police Station, Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India",http://www.finatoz.com/,"deepakjain@finatoz.com, shruthi@finatoz.com, shrikant@finatoz.com, deepak@finatoz.com, info@finatoz.com, shailendra@finatoz.com, varsha@finatoz.com, atul@finatoz.com",Financial Advisors in Bangalore,Connector
NEXT5 financial services pvt limited,083694 07758,"CLUB, 9th Cross Rd, near WILSON GARDEN, Vinayaka Nagar, Wilson Garden, Bengaluru, Karnataka 560027, India",http://www.next5.in/,,Financial Advisors in Bangalore,Connector
InvestAscent Wealth Advisors Pvt Ltd,080 4345 6565,"4th Floor, 1010, 26th Main Rd, above Union Bank of India, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",https://investascent.com/,"Info@investascent.com, example@mysite.com, info@investascent.com",Financial Advisors in Bangalore,Connector
PeakAlpha Investment Services Private Limited,080 4672 0700,"Kalpavriksh Ground Floor, 13, Brunton Road Cross Near Garuda Mall, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560025, India",https://peakalpha.com/,,Financial Advisors in Bangalore,Connector
Motilal Oswal Financial Services Limited,098215 74373,"Prestige Meridian – II, No 1301 & 1302, Mahatma Gandhi Rd, near Bangalore Central, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://stockbroker.motilaloswal.com/motilal-oswal-financial-services-limited-shenzi-india-pvt-ltd-stock-broker-mg-road-bengaluru-187965/Home?utm_source=locator&utm_medium=googleplaces,"query@motilaloswal.com, portfolio@crownadvisors.in, uday@trudy.in, bullseyefinserv@outlook.com, nitesh@awesmart.com, suma.motilal@gmail.com, Sanjohnrai@Gmail.Com, preetykumari83@gamil.com, pjmane1972@gmail.com, angelinvestments21@gmail.com, Equity@ladcocrest.com, sanjaybm1990@gmail.com, moslsicrobo@gmail.com",Financial Advisors in Bangalore,Connector
Coin Crop Financial Advisory Services,096866 58845,"2nd Floor, A-Wing, MITTAL TOWERS, A210, Mahatma Gandhi Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India",https://www.coincrop.in/,business@ecoexperts.in,Financial Advisors in Bangalore,Connector
Wealth Crafts,098865 24678,"39, 1st floor, 8th मेन मार्ग, 2nd Phase, Gokula 1st Stage, Mathikere, Bengaluru, Karnataka 560054, India",https://www.wealthcrafts.in/,"vivek@wealthcrafts.inSEBI, vivek@wealthcrafts.in, info@wealthcrafts.in",Financial Advisors in Bangalore,Connector
FinPluss.com,099163 83383,"FinPluss.com, 3RD FLOOR, Suraj Towers, SHAAYARI SERVICES PVT LTD, 216/13, 27th Cross Rd, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560011, India",https://finpluss.com/,,Financial Advisors in Bangalore,Connector
Ara Financial Services Pvt. Ltd,080 4098 1827,"S-05, Concourse, Lower Ground Floor, ITPL, Whitefield, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066, India",http://www.arafinserv.com/,,Financial Advisors in Bangalore,Connector
Akshaya Wealth Management Pvt Ltd,096869 79777,"690, 16th Main Rd, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041, India",https://www.akshayawealth.com/,"sudarshan@akshayawealthadvisers.com, services@akshayawealthadvisers.com",Financial Advisors in Bangalore,Connector
Rehbar Financial Services,080 4112 7537,"1 4, The Presidency, 1/1, St Mark's Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://rehbar.co.in/,,Financial Advisors in Bangalore,Connector
myMoneySage,070263 24444,"7 SreeDevi Complex, 3rd Floor, Spacio Workspace - Cabin, 3, NAT Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India",http://mymoneysage.in/,,Financial Advisors in Bangalore,Connector
Money Zinc Financial Services,078298 86600,"No: 63/1, 2nd Main Rd, St Thomas Town, Ramaiah Layout, Kammanahalli, Bengaluru, Karnataka 560084, India",http://moneyzinc.com/," support@moneyzinc.com , support@moneyzinc.com",Financial Advisors in Bangalore,Connector
Dilzer Consultants Private Limited,080 4151 2337,"404, Embassy Center, 11, Crescent Rd, Kumara Park East, Seshadripuram, Bengaluru, net, Karnataka 560001, India",http://www.dilzer.net/,"business@dilzer.net, dilzerconsultants@gmail.com, careers@dilzer.net, dilshad@dilzer.net",Financial Advisors in Bangalore,Connector
Finatwork Financial Services Pvt Ltd,080 4122 7738,"G1 Ebony, No 7/1, 2, Hosur Rd, Langford Town, Shanti Nagar, Bengaluru, Karnataka 560025, India",https://finatwork.com/,"saurabh.bansal@finatwork.com, sure.response@finatwork.com",Financial Advisors in Bangalore,Connector
BasuNivesh Fee Only Financial Planners,090195 80450,"No.1446, Aastha 5th Block, Sir M, Vishweshwaraiah Layout, Annapurneshwari Nagar, Bengaluru, Karnataka 560091, India",https://www.basunivesh.com/,,Financial Advisors in Bangalore,Connector
Apna Insurance Broking Consultants India Pvt Ltd,077609 67409,"57, Kengal Hanumanthaiah Rd, near Shantinagar Bus Terminus, Sudhama Nagar, Bengaluru, Karnataka 560027, India",https://www.apnainsurance.in/,,Insurance Agents in Bangalore,Connector
Eazyinsure.co.in,098867 35633,"1385, South, E End A Main Rd, East End Circle, Jayanagara 9th Block, J. P. Nagar, Bengaluru, Karnataka 560041, India",https://eazyinsure.co.in/,,Insurance Agents in Bangalore,Connector
WEINSURE GLOBAL,080 4302 8421,"CUBE #1011 AND 1012|10th Floor|, Brigade Towers|Brigade Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",https://weinsureglobal.in/,happytohelp@weinsureglobal.in,Insurance Agents in Bangalore,Connector
Ideal Insurance Brokers Private Limited,092434 50000,"Venue:#16, Sunderamurthy Rd, Cox Town, Bengaluru, Karnataka 560005, India",http://www.idealinsurance.in/,,Insurance Agents in Bangalore,Connector
LIC: Premium Point Anil Shetty LIC and Star Health Insurance Adviser,099805 17405,"LIC Of India, Basement of Exclusive, Prestige showroom, opposite to KFC, Basaveshawara HBCS Layout 2nd Stage, Maruthi Nagar, Chandra Layout, Bengaluru, Karnataka 560040, India",http://www.anilshettylic.com/,,Insurance Agents in Bangalore,Connector
Royal Sundaram General Insurance Co. Limited,080 4222 7373,"No. 30 3rd Floor JNR City Centre Raja Ram Mohan Roy Road, Off, Richmond Rd, opp. to Kantreeva Stadium, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",https://www.royalsundaram.in/contact-us,care@royalsundaram.in,Insurance Agents in Bangalore,Connector
Sri Vinayaka Insurance Point,097316 77775,"B CROSS, 130 31ST, 23rd Main Rd, opp. RAJIV GANDHI UNIVERSITY, BTB Area, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041, India",https://www.svinsuranceblr.com/,,Insurance Agents in Bangalore,Connector
Insurance Services in Bangalore - Bangalore Insurance Services,098453 03558,"No 133, Shoba Tower, cross, DV Gundappa Rd, near Shiva Shankar Temple, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India",,,Insurance Agents in Bangalore,Connector
BEST LIC AGENT IN BANGALORE,094831 96522,"no 3105, 6th B Main Rd, near Esi Hospital, Appareddipalya, signal, Indiranagar, Bengaluru, Karnataka 560008, India",,,Insurance Agents in Bangalore,Connector
Insuright Insurance Broking Pvt Ltd,081478 29997,"3rd floor, Chancellors Chambers, Ulsoor Rd, above ICICI Bank, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560008, India",http://insuright.co.in/,,Insurance Agents in Bangalore,Connector
HDFC ERGO General Insurance,022 6234 6234,"8/2, 5th Main, Next to Udati Atitya Hotel, KP, Puttanna Chetty Lane, Chamrajpet, Bengaluru, Karnataka 560004, India",http://www.hdfcergo.com/,test@test.com,Insurance Agents in Bangalore,Connector
Liberty General Insurance Ltd.,088846 00580,"04th Floor, The Landmark, 21/15, Mahatma Gandhi Rd, near Metro Station Trinity, Craig Park Layout, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://www.libertyisurance.in/?utm_source=local-listing&utm_medium=google&utm_campaign=seo-local,,Insurance Agents in Bangalore,Connector
MyAnmol Insurance Brokers LLP,097394 26665,"NO 35/A, 3rd Cross Rd, Vannerpet Officers Colony, Officers Colony, Victoria Layout, Bengaluru, Karnataka 560047, India",http://www.myanmolinsurance.com/,info@myanmolinsurance.com,Insurance Agents in Bangalore,Connector
HDFC ERGO Insurance Agent: K P Prashanth Kumar,079 4746 3711,"275, 4th Cross, Lal Bagh Main Rd, K.S. Garden, Raja Ram Mohanroy Extension, Wilson Garden, Bengaluru, Karnataka 560027, India",https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-k-p-prashanth-kumar-insurance-broker-k-s-garden-bengaluru-467370/Home?utm_source=locator&utm_medium=googleplaces,"Pratiikmehta@Gmail.Com, nareshyadavslm@gmail.com, v_skotian@rediffmail.com, rreent2015@gmail.com, msmitha97@gmail.com, Rajuyp143@Gmail.Com, sunilshah5571@gmail.com, sanjaythomas65@gmail.com, mkshjain312@gmail.com, bpnaresh@gmail.com, kp4insureindia@gmail.com, praveen.lic@gmail.com, ljanardhana3@gmail.com",Insurance Agents in Bangalore,Connector
Canara HSBC Life Insurance,097310 15321,"4th Floor, Crown Point, 36, Kasturba Cross Rd, Shanthala Nagar, Lavelle Road, Bengaluru, Karnataka 560001, India",https://www.canarahsbclife.com/,customerservice@canarahsbclife.in,Insurance Agents in Bangalore,Connector
LIC Direct Agent,099455 56138,"Canara Mutual Building, Residency Rd, 4th T Block East, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",,,Insurance Agents in Bangalore,Connector
Insumust,098867 30630,"crescent jahushan, no floor, 12th cross,, 13, VP Deenadayalu Naidu Rd, 3rd Block, Jayamahal, Bengaluru, Karnataka 560046, India",http://www.insumust.in/,,Insurance Agents in Bangalore,Connector
Bajaj Life Insurance,020 6712 1212,"136, 2nd Floor, Cears Plaza, UN 203 &204, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",https://branch.bajajlifeinsurance.com/bajaj-life-insurance-residency-road-life-insurance-residency-road-bengaluru-166187/Home?utm_source=locator&utm_medium=googleplaces,"customercare@bajajlife.com, BALIC_OutsourcingCommittee@bajajlife.com, websaleslife@bajajlife.com",Insurance Agents in Bangalore,Connector
JAYALAKSHMI INSURANCE & FINANCIAL SERVICES,098806 77061,"LANDMARK SUBBIAH CIRCLE, 14/2, Mission Rd, above CAR SRINGAR, Ashwath Nagar, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",https://jayalakshmifinance.in/,,Insurance Agents in Bangalore,Connector
Temptation Realty inc,097415 55559,"Landmark-next to Ibaco Icecream shop, 122/2, 1st Floor, Brigade Ternia, Brigade Rd, opposite of Brigade Tower, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",http://temptationrealtyinc.com/,info@temptationrealtyinc.com,Real Estate Agents in Bangalore,Connector
Roof 360 Real Estate and Properties,098450 22178,"No. 68/1, 2nd Floor, Coles Rd, Cleveland Town, Frazer Town, Bengaluru, Karnataka 560005, India",http://www.roof360.in/,,Real Estate Agents in Bangalore,Connector
The Bangalore Real Estate Co.,080 4945 7777,"Suite 2B, Redifice Signature, 6, Bowring Hospital Rd, Tasker Town, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",http://www.blrrealestate.com/,frontoffice@blrrealestate.com,Real Estate Agents in Bangalore,Connector
Team Blr Real Estate,091223 35919,"Langford Gardens, Bengaluru, Karnataka 560025, India",,,Real Estate Agents in Bangalore,Connector
Ilias Estates & Properties,098805 12703,"No. 84, ""Barton Center"", Unit No. 606, 6th Floor,M.G. Road, Bengaluru 560 001. Telephone, Bengaluru, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",,,Real Estate Agents in Bangalore,Connector
Kimia Realty Office Space In Bangalore - Warehouse Space In Bangalore,098453 08005,"51, Infantry Rd, above Linen Club, opposite Gulistan Shadi Mahal, Shivaji Nagar, Bengaluru, Karnataka 560001, India",http://kimiarealty.com/,info@kimiarealty.com,Real Estate Agents in Bangalore,Connector
Feroze estate agency - Furnished office space for rent in bangalore,098450 18800,"1st floor unit 1 Prestige feroze, Reliance Digital, 74, Landmark, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560001, India",http://www.ferozes.com/,reachus@ferozes.com,Real Estate Agents in Bangalore,Connector
"SUBH HOMES | Powered by eXp Realty - Vasu Jain, Trusted Realtor in Bangalore",099649 85128,"2nd Floor, K, 300, Kamaraj Rd, off Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560042, India",http://www.subhhomes.com/,,Real Estate Agents in Bangalore,Connector
BrokerInBlue - Professional Real Estate Brokers,077609 47777,"#82, 80 Feet Rd, KGE Layout, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094, India",https://brokerinblue.com/,hello@brokerinblue.com,Real Estate Agents in Bangalore,Connector
PROPERTY BROKER,072597 32934,"158, Lavelle Road, opp. to Hulkul Brigade Centre, Ashok Nagar, Bengaluru, Karnataka 560001, India",https://propertybroker.in/,,Real Estate Agents in Bangalore,Connector
Coldwell Banker Value Add Realty,099020 66670,"3rd Floor, Raghavendra Swamy Mutt, 38, 10th Main Rd, above Duroflex, near Sri, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",https://buywithcb.in/,balaji.b@coldwellbanker.in,Real Estate Agents in Bangalore,Connector
Friendly Realtors and Property Management,099015 55100,"19/8, Davis Rd, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560084, India",https://www.friendlyrealtors.in/,services@friendlyrealtors.in,Real Estate Agents in Bangalore,Connector
Agarwal Estates,081233 01122,"No.9, CRM Soubhagya Annexe, #35, 1B, Varthur Main Rd, near Spice Garden, Lakshminarayana Pura, Marathahalli, Bengaluru, Karnataka 560037, India",https://agarwalestates.com/,sales@agarwalestates.com,Real Estate Agents in Bangalore,Connector
Shah Real Estate,091485 95789,"5/1 Ali Manzil 20th h cross Ejipura, Gowda Muniswamy Garden, Koramangala, Bengaluru, Karnataka 560047, India",,,Real Estate Agents in Bangalore,Connector
New Karnataka Real Estate Agency,080888 98178,"Anjanadri layout, 187, 1st main cross road, Sinthan Nagar, Unity Nagar, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560077, India",https://newkarnatakarealestatemna.com/,info@newkarnatakarealestatemna.com,Real Estate Agents in Bangalore,Connector
Estatesquad Services Pvt Ltd,096638 39991,"19, 2nd Cross, Chinnaswamy Mudaliar Road, Queens Rd, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051, India",https://estatesquad.in/,sales@estatesquad.in,Real Estate Agents in Bangalore,Connector
Raintree Realtors India Pvt. Ltd,098450 01652,"221, 32 'A' Cross, 3rd Main Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070, India",http://www.raintree-realtors.com/,,Real Estate Agents in Bangalore,Connector
Inbengaluru Properties,096865 47123,"2 nd, 79/2, Nandi Durga Rd, above Apollo Pharmacy, Floor, Jayamahal, Bengaluru, Karnataka 560046, India",http://www.inbengaluruproperties.com/,info@inbengaluruproperties.com,Real Estate Agents in Bangalore,Connector
